year,code,name,du_per_acre,far,hotel,source,notes
2021,res-highmed,Residential High-Medium,,3.24 FAR residential,,era,
2021,res-high,Residential High,,4.8 FAR residential,3.8 FAR hotel,era,
2021,svc-commercial,Service Commercial,,max 1.5 FAR,,era,1-4 stories; special provisions within Columbia Pike Special Revitalization District
2021,svc-industry,Service Industry,,,,era,"wholesale, storage, light manufacturing"
2021,public,Public,,,,era,"parks, public schools, parkways, libraries"
2021,semi-public,Semi-Public,,,,era,"country clubs, churches, private schools/cemeteries"
2021,gov-community,Government and Community Facilities,,,,era,"county/state/federal, hospitals, utilities, military, airports"
2021,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 110 du/ac hotel,era,hotel cap reduced from 135 (1983)
2021,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,era,
2021,oah-high,Office-Apartment-Hotel High,up to 4.8 FAR apt,3.8 FAR office,up to 3.8 FAR hotel,era,changed from 3.5 FAR/135/210 (1983)
2021,mu-med,Medium Density Mixed-Use,,3.0 FAR (+1.0 FAR residential special provision),,era,
2021,mu-highmed,High-Medium Residential Mixed-Use,,up to 3.24 FAR incl office/retail,,era,
2021,mu-coord,Coordinated Mixed-Use Development,,up to 6.0 FAR (office max 3.0 FAR),,era,"high-density district, actual density by site size"
2022,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,era,
2022,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,era,
2022,res-lowmed,Residential Low-Medium,16-36 du/ac,,,era,upper bound raised from 30 (1983)
2022,res-med,Residential Medium,up to 37-72 du/ac,,,era,
2022,res-highmed,Residential High-Medium,,3.24 FAR residential,,era,
2022,res-high,Residential High,,4.8 FAR residential,3.8 FAR hotel,era,
2022,svc-commercial,Service Commercial,,max 1.5 FAR,,era,1-4 stories; special provisions within Columbia Pike Special Revitalization District
2022,svc-industry,Service Industry,,,,era,"wholesale, storage, light manufacturing"
2022,public,Public,,,,era,"parks, public schools, parkways, libraries"
2022,semi-public,Semi-Public,,,,era,"country clubs, churches, private schools/cemeteries"
2022,gov-community,Government and Community Facilities,,,,era,"county/state/federal, hospitals, utilities, military, airports"
2022,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 110 du/ac hotel,era,hotel cap reduced from 135 (1983)
2022,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,era,
2022,oah-high,Office-Apartment-Hotel High,up to 4.8 FAR apt,3.8 FAR office,up to 3.8 FAR hotel,era,changed from 3.5 FAR/135/210 (1983)
2022,mu-med,Medium Density Mixed-Use,,3.0 FAR (+1.0 FAR residential special provision),,era,
2022,mu-highmed,High-Medium Residential Mixed-Use,,up to 3.24 FAR incl office/retail,,era,
2022,mu-coord,Coordinated Mixed-Use Development,,up to 6.0 FAR (office max 3.0 FAR),,era,"high-density district, actual density by site size"
2023,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,era,
2023,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,era,
2023,res-lowmed,Residential Low-Medium,16-36 du/ac,,,era,upper bound raised from 30 (1983)
2023,res-med,Residential Medium,up to 37-72 du/ac,,,era,
2023,res-highmed,Residential High-Medium,,3.24 FAR residential,,era,
2023,res-high,Residential High,,4.8 FAR residential,3.8 FAR hotel,era,
2023,svc-commercial,Service Commercial,,max 1.5 FAR,,era,1-4 stories; special provisions within Columbia Pike Special Revitalization District
2023,svc-industry,Service Industry,,,,era,"wholesale, storage, light manufacturing"
2023,public,Public,,,,era,"parks, public schools, parkways, libraries"
2023,semi-public,Semi-Public,,,,era,"country clubs, churches, private schools/cemeteries"
2023,gov-community,Government and Community Facilities,,,,era,"county/state/federal, hospitals, utilities, military, airports"
2023,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 110 du/ac hotel,era,hotel cap reduced from 135 (1983)
2023,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,era,
2023,oah-high,Office-Apartment-Hotel High,up to 4.8 FAR apt,3.8 FAR office,up to 3.8 FAR hotel,era,changed from 3.5 FAR/135/210 (1983)
2023,mu-med,Medium Density Mixed-Use,,3.0 FAR (+1.0 FAR residential special provision),,era,
2023,mu-highmed,High-Medium Residential Mixed-Use,,up to 3.24 FAR incl office/retail,,era,
2023,mu-coord,Coordinated Mixed-Use Development,,up to 6.0 FAR (office max 3.0 FAR),,era,"high-density district, actual density by site size"
2024,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,era,
2024,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,era,
2024,res-lowmed,Residential Low-Medium (16-36),16-36 du/ac,,,era,upper bound raised from 30 (1983)
2024,res-med,Residential Medium (37-72),up to 37-72 du/ac,,,era,
2024,res-highmed,Residential High-Medium (3.24 FAR),,3.24 FAR residential,,era,
2024,res-high,Residential High (4.8 FAR),,4.8 FAR residential,3.8 FAR hotel,era,
2024,svc-commercial,Service Commercial,,max 1.5 FAR,,era,1-4 stories; special provisions within Columbia Pike Special Revitalization District
2024,svc-industry,Service Industry,,,,era,"wholesale, storage, light manufacturing"
2024,public,Public,,,,era,"parks, public schools, parkways, libraries"
2024,semi-public,Semi-Public,,,,era,"country clubs, churches, private schools/cemeteries"
2024,gov-community,Government and Community Facilities,,,,era,"county/state/federal, hospitals, utilities, military, airports"
2024,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 110 du/ac hotel,era,hotel cap reduced from 135 (1983)
2024,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,era,
2024,oah-high,Office-Apartment-Hotel High,up to 4.8 FAR apt,3.8 FAR office,up to 3.8 FAR hotel,era,changed from 3.5 FAR/135/210 (1983)
2024,mu-med,Medium Density Mixed-Use,,3.0 FAR (+1.0 FAR residential special provision),,era,
2024,mu-highmed,High-Medium Residential Mixed-Use,,up to 3.24 FAR incl office/retail,,era,
2024,mu-coord,Coordinated Mixed-Use Development,,up to 6.0 FAR (office max 3.0 FAR),,era,"high-density district, actual density by site size"
