year,code,name,du_per_acre,far,hotel,source,notes
1990,semi-public,Semi-Public,,,,era,"country clubs, churches, private schools/cemeteries"
1990,gov-community,Government and Community Facilities,,,,era,"county/state/federal, hospitals, utilities, military, airports"
1990,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 110 du/ac hotel,era,hotel cap reduced from 135 (1983)
1990,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,era,
1990,oah-high,Office-Apartment-Hotel High,up to 4.8 FAR apt,3.8 FAR office,up to 3.8 FAR hotel,era,changed from 3.5 FAR/135/210 (1983)
1990,mu-med,Medium Density Mixed-Use,,3.0 FAR (+1.0 FAR residential special provision),,era,
1990,mu-highmed,High-Medium Residential Mixed-Use,,up to 3.24 FAR incl office/retail,,era,
1990,mu-coord,Coordinated Mixed-Use Development District,,up to 6.0 FAR (office max 3.0 FAR),,era,"high-density district, actual density by site size"
1996,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,era,
1996,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,era,
1996,res-lowmed,Residential Low-Medium (16-36 u/ac),16-36 du/ac,,,era,upper bound raised from 30 (1983)
1996,res-med,Residential Medium (37-72 u/ac),37-72 du/ac,,,era,lower bound raised from 31 (1983)
1996,res-highmed,Residential High-Medium (3.24 FAR),,3.24 FAR residential,,era,
1996,res-high,Residential High (4.8 FAR),,4.8 FAR residential,3.8 FAR hotel,era,
1996,svc-commercial,Service Commercial,,max 1.5 FAR,,era,generally 1-4 stories; raised from 1.0 FAR (1983)
1996,com-general,General Commercial,,,,era,generally max 7 stories
1996,svc-industry,Service Industry,,,,era,"wholesale, storage, light manufacturing"
1996,public,Public,,,,era,"parks, public schools, parkways, libraries"
1996,semi-public,Semi-Public,,,,era,"country clubs, churches, private schools/cemeteries"
1996,gov-community,Government and Community Facilities,,,,era,"county/state/federal, hospitals, utilities, military, airports"
1996,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 110 du/ac hotel,era,hotel cap reduced from 135 (1983)
1996,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,era,
1996,oah-high,Office-Apartment-Hotel High,up to 4.8 FAR apt,3.8 FAR office,up to 3.8 FAR hotel,era,changed from 3.5 FAR/135/210 (1983)
1996,mu-med,Medium Density Mixed-Use,,3.0 FAR (+1.0 FAR residential special provision),,era,
1996,mu-highmed,High-Medium Residential Mixed-Use,,up to 3.24 FAR incl office/retail,,era,
1996,mu-coord,Coordinated Mixed-Use Development District,,up to 6.0 FAR (office max 3.0 FAR),,era,"high-density district, actual density by site size"
2004,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,sheet,
2004,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,sheet,
2004,res-lowmed,Residential Low-Medium (16-36 u/ac),16-36 du/ac,,,sheet,upper bound raised from 30 (1983)
2004,res-med,Residential Medium (37-72 u/ac),32-72 du/ac,,,sheet,as printed on 2004 sheet; 1987 and 2013 print 37-72 - likely misprint
2004,res-highmed,Residential High-Medium (3.24 FAR),,3.24 FAR residential,,sheet,
